IncidentCode,SupplierID,SupplierName,Region,SupplierCategory,ReliabilityScore,WarehouseLocation,ShipmentStatus,DeliveryDelayDays,TransportationCost,InventoryLevel,DemandForecast,IncidentCategory,Title,Description,Severity,ImpactScore,OccurredAt,ResolutionStatus
INC-00030,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,40.08,"Sydney, Australia",Critical,17.49,15500.29,3558.49,106.6,shipment,Transportation cost spike on Asia-Pacific routes,Freight costs from Asia-Pacific increased by 50% due to fuel surcharges and carrier capacity constraints.,critical,8.23,2026-03-04,open
INC-00031,SUP-006,Andean Resources Ltd,South America,Raw Materials,73.72,"Chicago, USA",On-Time,0.82,8605.14,4505.23,2077.78,shipment,Transportation cost spike on South America routes,Freight costs from South America increased by 28% due to fuel surcharges and carrier capacity constraints.,low,1.84,2026-05-09,in_progress
INC-00032,SUP-003,EuroLogistics Partners,Europe,Logistics,84.84,"Tokyo, Japan",On-Time,0.64,31040.67,52.01,1218.96,shipment,Transportation cost spike on Europe routes,Freight costs from Europe increased by 43% due to fuel surcharges and carrier capacity constraints.,critical,8.52,2026-01-08,closed
INC-00033,SUP-003,EuroLogistics Partners,Europe,Logistics,85.79,"Sydney, Australia",On-Time,0.51,37184.25,3115.34,464.21,shipment,EuroLogistics Partners delivery delayed by customs clearance,"Shipment from EuroLogistics Partners held at Sydney, Australia customs for 1 days due to documentation issues.",low,1.49,2025-09-30,in_progress
INC-00034,SUP-010,Bay Area Tech Supplies,North America,Electronics,84.14,"Chicago, USA",On-Time,1.63,23965.37,3167.34,858.3,shipment,Bay Area Tech Supplies delivery delayed by customs clearance,"Shipment from Bay Area Tech Supplies held at Chicago, USA customs for 2 days due to documentation issues.",low,2.79,2026-05-24,closed
INC-00035,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,45.62,"Rotterdam, Netherlands",Delayed,8.15,44617.82,3494.76,1911.74,shipment,Weather-related disruption — Asia-Pacific,"Severe weather event in Asia-Pacific has disrupted logistics for Pacific Rim Manufacturing, causing estimated 8-day delay.",high,6.84,2026-03-14,in_progress
INC-00036,SUP-010,Bay Area Tech Supplies,North America,Electronics,79.56,"Mumbai, India",On-Time,4.4,25456.39,4084.28,3578.88,shipment,Weather-related disruption — North America,"Severe weather event in North America has disrupted logistics for Bay Area Tech Supplies, causing estimated 4-day delay.",medium,3.52,2026-01-06,open
INC-00037,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,58.6,"Rotterdam, Netherlands",On-Time,3.06,35217.67,1409.26,402.19,supplier,Gulf Region Distributors reliability score degradation,"Supplier Gulf Region Distributors has shown a pattern of late deliveries over the past 30 days, averaging 3.1 days behind schedule.",medium,3.3,2025-10-26,in_progress
INC-00038,SUP-003,EuroLogistics Partners,Europe,Logistics,87.51,"Chicago, USA",On-Time,0.85,23602.77,2735.93,1721.52,shipment,EuroLogistics Partners delivery delayed by customs clearance,"Shipment from EuroLogistics Partners held at Chicago, USA customs for 1 days due to documentation issues.",low,2.71,2025-09-15,closed
INC-00039,SUP-010,Bay Area Tech Supplies,North America,Electronics,82.6,"Mumbai, India",On-Time,2.21,20643.22,3779.7,3428.45,shipment,Transportation cost spike on North America routes,Freight costs from North America increased by 51% due to fuel surcharges and carrier capacity constraints.,low,1.98,2026-01-02,open
INC-00040,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,56.06,"Los Angeles, USA",In-Transit,8.29,37450.3,4000.8,2924.31,supplier,Geopolitical risk — Asia-Pacific trade route,New regulatory requirements in Asia-Pacific affecting imports from Southeast Asia Textiles. Compliance timeline: 17 days.,high,6.63,2026-01-27,open
INC-00041,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,43.31,"Frankfurt, Germany",In-Transit,9.77,26470.02,298.91,1578.51,demand,Demand surge exceeds Pacific Rim Manufacturing capacity,"Q-on-Q demand has increased by 28%, exceeding current supply agreements with Pacific Rim Manufacturing.",critical,9.0,2025-09-18,closed
INC-00042,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,60.97,"Rotterdam, Netherlands",Delayed,10.07,3027.31,2720.12,3999.64,shipment,Southeast Asia Textiles delivery delayed by customs clearance,"Shipment from Southeast Asia Textiles held at Rotterdam, Netherlands customs for 10 days due to documentation issues.",high,7.4,2025-11-28,open
INC-00043,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,69.33,"Houston, USA",On-Time,2.97,27098.74,616.23,3796.25,inventory,Low inventory alert — GlobalTech Components components,Stock levels for Electronics components from GlobalTech Components have dropped below reorder point. Current: 616 units vs demand forecast: 3796 units.,critical,9.06,2026-01-26,open
INC-00044,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,58.89,"Houston, USA",Delayed,9.82,18533.73,3402.87,3836.87,inventory,Low inventory alert — Gulf Region Distributors components,Stock levels for Manufacturing components from Gulf Region Distributors have dropped below reorder point. Current: 3403 units vs demand forecast: 3837 units.,high,6.89,2025-12-22,open
INC-00045,SUP-010,Bay Area Tech Supplies,North America,Electronics,86.05,"São Paulo, Brazil",Customs-Hold,0.0,31994.43,253.29,2177.71,supplier,Bay Area Tech Supplies quality control hold,Batch from Bay Area Tech Supplies placed on quality hold pending inspection. 253 units temporarily unavailable.,critical,9.14,2026-05-06,open
INC-00046,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,67.89,"Sydney, Australia",In-Transit,5.89,45921.49,3551.18,1798.4,shipment,Weather-related disruption — Asia-Pacific,"Severe weather event in Asia-Pacific has disrupted logistics for Southeast Asia Textiles, causing estimated 6-day delay.",medium,3.87,2026-02-24,resolved
INC-00047,SUP-010,Bay Area Tech Supplies,North America,Electronics,81.87,"Frankfurt, Germany",In-Transit,5.01,46028.74,478.98,3538.36,shipment,Bay Area Tech Supplies delivery delayed by customs clearance,"Shipment from Bay Area Tech Supplies held at Frankfurt, Germany customs for 5 days due to documentation issues.",critical,8.49,2025-10-04,open
INC-00048,SUP-003,EuroLogistics Partners,Europe,Logistics,83.33,"Mumbai, India",Customs-Hold,1.27,15692.68,1434.31,2425.0,supplier,EuroLogistics Partners quality control hold,Batch from EuroLogistics Partners placed on quality hold pending inspection. 1434 units temporarily unavailable.,medium,3.98,2025-10-21,closed
INC-00049,SUP-004,NorAm Supply Chain,North America,Packaging,62.37,"Chicago, USA",On-Time,1.33,28013.53,3975.02,462.91,shipment,Weather-related disruption — North America,"Severe weather event in North America has disrupted logistics for NorAm Supply Chain, causing estimated 1-day delay.",low,2.11,2025-09-23,open
INC-00050,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,67.32,Singapore,Delayed,7.65,20645.96,2296.04,1295.83,shipment,Transportation cost spike on Asia-Pacific routes,Freight costs from Asia-Pacific increased by 50% due to fuel surcharges and carrier capacity constraints.,high,5.93,2025-09-28,in_progress
INC-00051,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,55.82,"Dubai, UAE",Customs-Hold,0.0,29805.75,1450.84,492.05,inventory,Stockout risk for Manufacturing components,"At current consumption rate, Manufacturing component stock will reach zero in 8 days without restocking.",low,1.25,2025-09-09,open
INC-00052,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,64.7,"Tokyo, Japan",On-Time,2.97,8692.81,4348.88,2014.43,shipment,GlobalTech Components delivery delayed by customs clearance,"Shipment from GlobalTech Components held at Tokyo, Japan customs for 3 days due to documentation issues.",low,1.5,2025-06-08,closed
INC-00053,SUP-008,Nordic Cold Chain,Europe,Logistics,93.39,"Los Angeles, USA",Customs-Hold,0.92,28062.57,2906.25,2777.16,shipment,Transportation cost spike on Europe routes,Freight costs from Europe increased by 55% due to fuel surcharges and carrier capacity constraints.,low,1.24,2025-08-18,closed
INC-00054,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,54.06,"Dubai, UAE",On-Time,1.77,13961.42,2636.73,1857.01,supplier,Geopolitical risk — Asia-Pacific trade route,New regulatory requirements in Asia-Pacific affecting imports from Southeast Asia Textiles. Compliance timeline: 30 days.,low,1.12,2026-01-14,resolved
INC-00055,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,48.23,"Mumbai, India",In-Transit,10.98,13184.34,3319.12,712.52,supplier,Geopolitical risk — Asia-Pacific trade route,New regulatory requirements in Asia-Pacific affecting imports from Pacific Rim Manufacturing. Compliance timeline: 3 days.,high,6.44,2025-08-29,open
INC-00056,SUP-004,NorAm Supply Chain,North America,Packaging,64.03,"Sydney, Australia",Delayed,9.87,47559.16,402.34,1010.35,supplier,NorAm Supply Chain quality control hold,Batch from NorAm Supply Chain placed on quality hold pending inspection. 402 units temporarily unavailable.,high,5.73,2025-10-15,open
INC-00057,SUP-003,EuroLogistics Partners,Europe,Logistics,95.85,"Dubai, UAE",On-Time,0.18,5784.72,871.32,1299.69,supplier,EuroLogistics Partners quality control hold,Batch from EuroLogistics Partners placed on quality hold pending inspection. 871 units temporarily unavailable.,medium,4.89,2026-03-20,in_progress
INC-00058,SUP-009,Midwest Components Inc,North America,Electronics,67.95,"Shanghai, China",Delayed,5.06,4112.62,2188.54,1357.05,demand,Demand surge exceeds Midwest Components Inc capacity,"Q-on-Q demand has increased by 15%, exceeding current supply agreements with Midwest Components Inc.",medium,4.15,2025-10-08,closed
INC-00059,SUP-003,EuroLogistics Partners,Europe,Logistics,80.86,"Frankfurt, Germany",On-Time,1.47,50551.86,948.37,2382.79,shipment,Port congestion affecting EuroLogistics Partners shipments,"Congestion at Frankfurt, Germany port is causing 1-day delays for all EuroLogistics Partners shipments.",high,6.84,2026-04-23,closed
INC-00060,SUP-003,EuroLogistics Partners,Europe,Logistics,84.3,"Shanghai, China",On-Time,2.55,17275.54,4728.71,3272.91,supplier,EuroLogistics Partners quality control hold,Batch from EuroLogistics Partners placed on quality hold pending inspection. 4729 units temporarily unavailable.,low,2.73,2026-03-10,closed
INC-00061,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,68.57,"Sydney, Australia",On-Time,1.36,23902.12,978.53,1510.94,supplier,GlobalTech Components reliability score degradation,"Supplier GlobalTech Components has shown a pattern of late deliveries over the past 30 days, averaging 1.4 days behind schedule.",medium,4.86,2026-02-12,in_progress
INC-00062,SUP-008,Nordic Cold Chain,Europe,Logistics,100.0,"Shanghai, China",On-Time,1.73,34270.2,1234.52,717.67,inventory,Low inventory alert — Nordic Cold Chain components,Stock levels for Logistics components from Nordic Cold Chain have dropped below reorder point. Current: 1235 units vs demand forecast: 718 units.,low,1.92,2026-03-11,open
INC-00063,SUP-003,EuroLogistics Partners,Europe,Logistics,80.06,"Rotterdam, Netherlands",On-Time,1.22,28970.22,1403.45,3355.42,supplier,Geopolitical risk — Europe trade route,New regulatory requirements in Europe affecting imports from EuroLogistics Partners. Compliance timeline: 7 days.,high,6.52,2026-01-29,open
INC-00064,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,43.55,"Dubai, UAE",Critical,22.76,23991.95,4674.53,2080.18,supplier,Geopolitical risk — Asia-Pacific trade route,New regulatory requirements in Asia-Pacific affecting imports from Pacific Rim Manufacturing. Compliance timeline: 26 days.,critical,9.5,2025-06-03,in_progress
INC-00065,SUP-003,EuroLogistics Partners,Europe,Logistics,82.57,"Rotterdam, Netherlands",On-Time,1.58,19619.32,3826.22,1571.12,supplier,EuroLogistics Partners quality control hold,Batch from EuroLogistics Partners placed on quality hold pending inspection. 3826 units temporarily unavailable.,low,1.09,2025-11-13,resolved
INC-00066,SUP-008,Nordic Cold Chain,Europe,Logistics,89.46,"Frankfurt, Germany",On-Time,0.0,22462.17,3335.26,3300.92,shipment,Port congestion affecting Nordic Cold Chain shipments,"Congestion at Frankfurt, Germany port is causing 0-day delays for all Nordic Cold Chain shipments.",low,2.74,2025-08-18,closed
INC-00067,SUP-008,Nordic Cold Chain,Europe,Logistics,100.0,Singapore,On-Time,1.44,2813.42,763.57,3496.64,supplier,Nordic Cold Chain quality control hold,Batch from Nordic Cold Chain placed on quality hold pending inspection. 764 units temporarily unavailable.,high,6.8,2025-08-20,closed
INC-00068,SUP-006,Andean Resources Ltd,South America,Raw Materials,84.94,"Mumbai, India",On-Time,0.0,22140.5,1617.47,2903.0,demand,Demand surge exceeds Andean Resources Ltd capacity,"Q-on-Q demand has increased by 12%, exceeding current supply agreements with Andean Resources Ltd.",medium,4.99,2026-02-06,resolved
INC-00069,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,42.92,"Dubai, UAE",Delayed,13.4,35588.63,4369.27,1830.35,demand,Demand surge exceeds Pacific Rim Manufacturing capacity,"Q-on-Q demand has increased by 60%, exceeding current supply agreements with Pacific Rim Manufacturing.",high,6.22,2026-05-23,in_progress
INC-00070,SUP-003,EuroLogistics Partners,Europe,Logistics,88.19,"Chicago, USA",On-Time,2.23,38135.42,941.28,782.77,supplier,EuroLogistics Partners reliability score degradation,"Supplier EuroLogistics Partners has shown a pattern of late deliveries over the past 30 days, averaging 2.2 days behind schedule.",low,1.46,2026-04-10,resolved
INC-00071,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,50.82,"Los Angeles, USA",In-Transit,10.96,49642.15,2353.0,1221.76,supplier,Gulf Region Distributors quality control hold,Batch from Gulf Region Distributors placed on quality hold pending inspection. 2353 units temporarily unavailable.,high,6.88,2026-03-08,in_progress
INC-00072,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,59.55,"Dubai, UAE",In-Transit,13.78,27610.03,1224.17,2330.5,demand,Demand surge exceeds Gulf Region Distributors capacity,"Q-on-Q demand has increased by 65%, exceeding current supply agreements with Gulf Region Distributors.",high,5.52,2026-03-23,closed
INC-00073,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,79.0,"Tokyo, Japan",On-Time,1.86,46140.46,4519.53,3125.39,demand,Demand surge exceeds GlobalTech Components capacity,"Q-on-Q demand has increased by 54%, exceeding current supply agreements with GlobalTech Components.",low,2.36,2025-09-27,resolved
INC-00074,SUP-003,EuroLogistics Partners,Europe,Logistics,80.51,"São Paulo, Brazil",On-Time,0.0,36256.05,1579.22,1819.21,supplier,EuroLogistics Partners quality control hold,Batch from EuroLogistics Partners placed on quality hold pending inspection. 1579 units temporarily unavailable.,low,1.35,2026-03-25,open
INC-00075,SUP-009,Midwest Components Inc,North America,Electronics,73.41,"Dubai, UAE",On-Time,2.66,28595.12,1399.01,741.72,inventory,Low inventory alert — Midwest Components Inc components,Stock levels for Electronics components from Midwest Components Inc have dropped below reorder point. Current: 1399 units vs demand forecast: 742 units.,low,1.28,2026-02-03,open
INC-00076,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,69.84,Singapore,In-Transit,5.77,21386.08,3963.88,154.28,supplier,Geopolitical risk — Asia-Pacific trade route,New regulatory requirements in Asia-Pacific affecting imports from Southeast Asia Textiles. Compliance timeline: 21 days.,medium,3.76,2026-03-03,resolved
INC-00077,SUP-006,Andean Resources Ltd,South America,Raw Materials,81.84,"Rotterdam, Netherlands",On-Time,4.55,3326.31,4426.96,2289.49,demand,Demand surge exceeds Andean Resources Ltd capacity,"Q-on-Q demand has increased by 46%, exceeding current supply agreements with Andean Resources Ltd.",medium,4.3,2026-04-10,open
INC-00078,SUP-003,EuroLogistics Partners,Europe,Logistics,89.32,"Los Angeles, USA",On-Time,1.28,54784.15,624.8,1015.72,inventory,Stockout risk for Logistics components,"At current consumption rate, Logistics component stock will reach zero in 13 days without restocking.",medium,3.84,2026-03-04,resolved
INC-00079,SUP-003,EuroLogistics Partners,Europe,Logistics,93.48,"Shanghai, China",On-Time,0.24,46185.73,3097.48,3762.31,shipment,Transportation cost spike on Europe routes,Freight costs from Europe increased by 48% due to fuel surcharges and carrier capacity constraints.,low,2.71,2025-10-23,open
INC-00080,SUP-006,Andean Resources Ltd,South America,Raw Materials,65.73,"Frankfurt, Germany",On-Time,1.5,21009.71,2020.79,840.25,shipment,Andean Resources Ltd delivery delayed by customs clearance,"Shipment from Andean Resources Ltd held at Frankfurt, Germany customs for 1 days due to documentation issues.",low,1.1,2025-08-03,open
INC-00081,SUP-004,NorAm Supply Chain,North America,Packaging,73.77,"Rotterdam, Netherlands",Delayed,6.21,12875.9,4157.6,2261.41,supplier,Geopolitical risk — North America trade route,New regulatory requirements in North America affecting imports from NorAm Supply Chain. Compliance timeline: 9 days.,medium,3.01,2026-03-29,closed
INC-00082,SUP-003,EuroLogistics Partners,Europe,Logistics,94.21,"Shanghai, China",On-Time,1.1,44321.23,594.14,3479.15,shipment,EuroLogistics Partners delivery delayed by customs clearance,"Shipment from EuroLogistics Partners held at Shanghai, China customs for 1 days due to documentation issues.",critical,7.85,2025-08-08,open
INC-00083,SUP-003,EuroLogistics Partners,Europe,Logistics,87.68,"Tokyo, Japan",On-Time,0.0,41520.26,2407.42,3134.27,shipment,EuroLogistics Partners delivery delayed by customs clearance,"Shipment from EuroLogistics Partners held at Tokyo, Japan customs for 0 days due to documentation issues.",low,2.45,2026-02-19,closed
INC-00084,SUP-009,Midwest Components Inc,North America,Electronics,67.71,"Sydney, Australia",In-Transit,9.76,3650.98,4993.0,3404.46,inventory,Low inventory alert — Midwest Components Inc components,Stock levels for Electronics components from Midwest Components Inc have dropped below reorder point. Current: 4993 units vs demand forecast: 3404 units.,high,7.3,2026-01-06,open
INC-00085,SUP-010,Bay Area Tech Supplies,North America,Electronics,84.55,"Tokyo, Japan",On-Time,2.73,35088.83,2947.56,2877.4,inventory,Low inventory alert — Bay Area Tech Supplies components,Stock levels for Electronics components from Bay Area Tech Supplies have dropped below reorder point. Current: 2948 units vs demand forecast: 2877 units.,low,2.59,2025-12-14,open
INC-00086,SUP-009,Midwest Components Inc,North America,Electronics,69.37,"Chicago, USA",On-Time,2.61,25932.41,1181.04,1421.83,demand,Demand surge exceeds Midwest Components Inc capacity,"Q-on-Q demand has increased by 33%, exceeding current supply agreements with Midwest Components Inc.",low,1.75,2026-01-20,open
INC-00087,SUP-008,Nordic Cold Chain,Europe,Logistics,100.0,"Mumbai, India",On-Time,1.19,6941.2,527.99,2981.3,inventory,Low inventory alert — Nordic Cold Chain components,Stock levels for Logistics components from Nordic Cold Chain have dropped below reorder point. Current: 528 units vs demand forecast: 2981 units.,critical,8.32,2025-08-07,closed
INC-00088,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,66.4,"Mumbai, India",On-Time,1.32,53325.13,3022.03,1471.42,inventory,Low inventory alert — Southeast Asia Textiles components,Stock levels for Manufacturing components from Southeast Asia Textiles have dropped below reorder point. Current: 3022 units vs demand forecast: 1471 units.,low,1.7,2026-03-24,in_progress
